coupon_id,discount_rate
1,20:1
10,20:1
100,100:10
1000,200:20
10000,10:1
100000003,20:10
100000017,300:50
100000019,300:30
100000020,50:1
100000025,200:10
100000026,30:20
100000033,20:10
100000035,200:10
100000041,300:50
100000045,5:1
100000052,50:5
100000068,50:5
100000086,30:20
100000091,20:10
100000094,300:20
100000123,150:20
100000129,1000:300
100000136,100:10
100000137,10:5
100000139,150:20
100000140,5:1
100000156,10:5
100000157,300:20
100000186,150:10
100000190,5:1
100000191,200:20
100000204,30:20
100000213,150:10
100000214,500:100
100000217,800:100
100000239,150:10
100000248,150:10
100000262,5:1
100000284,300:10
100000285,100:50
100000294,100:5
100000339,300:50
100000351,100:5
100000359,50:1
100000361,300:30
100000363,200:20
100000365,300:50
100000376,300:30
100000378,100:10
100000390,20:10
100000406,150:20
100000407,10:5
100000409,5:1
100000414,50:30
100000424,300:50
100000443,50:5
100000446,200:10
100000466,200:10
100000467,100:10
100000480,10:1
100000486,200:20
100000490,500:50
100000495,1000:50
100000497,300:10
100000507,50:5
100000522,150:20
100000525,150:10
100000527,50:5
100000530,5:1
100000541,50:5
100000543,50:1
100000547,50:10
100000549,1000:30
100000553,30:1
100000560,5:1
100000578,300:20
100000580,100:5
100000591,300:10
100000593,150:10
100000597,200:10
100000601,150:20
100000618,500:100
100000622,200:50
100000624,150:10
100000648,50:5
100000653,200:10
100000668,200:30
100000672,30:10
100000682,150:20
100000691,100:10
100000696,150:20
100000704,10:5
100000707,150:10
100000711,50:5
100000713,150:10
100000724,300:5
100000734,30:20
100000787,100:1
100000801,50:1
100000802,5:1
100000811,5:1
100000817,500:50
100000819,200:10
100000831,150:100
100000832,20:10
100000834,150:10
100000835,20:10
100000839,500:50
100000842,20:10
100000849,10:5
100000857,30:5
100000860,50:1
100000866,200:30
100000874,50:10
100000882,1000:50
100000893,50:5
100000898,200:1
100000899,1000:30
100000909,150:50
100000913,50:1
100000920,100:10
100000931,10:5
100000940,100:10
100000958,5:1
100000979,500:50
100000992,5:1
100001010,30:20
100001015,500:30
100001024,100:50
100001052,500:100
100001070,150:10
100001082,5:1
100001086,50:5
100001092,50:5
100001102,30:20
100001136,1000:50
100001144,200:20
100001148,10:5
100001192,150:20
100001203,50:5
100001206,1000:300
100001233,300:20
100001235,10:5
100001246,1000:50
100001281,200:20
100001285,50:1
100001291,150:10
100001295,50:1
100001298,150:10
100001306,50:5
100001308,200:20
100001310,1000:10
100001332,300:10
100001343,50:5
100001356,10:5
100001369,150:10
100001382,300:20
100001384,500:20
